YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,STNDVERT,LPVERT,LANE,SPRINT,BENCH,BAR,PBHGT,PDHGT,Unnamed: 0,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,target_5yrs
2018.0,"Trent, Gary",SG,76.25,204.2,24.7,0.07,80.75,98.0,33.5,39.5,11.37,3.12,12.0,105.9%,131.5,137.5,1204.0,69.0,17.7,7.5,3.2,6.2,51.3,0.0,0.1,0.0,1.1,2.0,55.3,1.2,2.2,3.4,0.7,0.4,0.2,1.3,1.0
2016.0,"Brogdon, Malcolm",SG,75.75,223.0,27.3,0.054,82.5,98.0,30.5,35.5,10.77,3.31,7.8,108.9%,128.5,133.5,884.0,32.0,22.9,8.3,3.2,6.9,46.2,0.9,2.1,44.1,0.9,1.1,85.7,0.4,2.1,2.5,3.6,1.0,0.1,1.5,0.0
2016.0,"Brown, Jaylen",SG-SF,77.25,222.8,26.2,0.051,83.75,102.5,29.6,36.1,11.024,3.2439999999999998,9.4,108.4%,132.7,139.2,643.0,34.0,13.4,4.9,1.9,4.4,44.6,0.4,1.1,31.6,0.7,1.1,63.2,0.6,1.2,1.8,0.6,0.3,0.3,0.6,0.0
2016.0,"Chriss, Marquese",PF,80.75,233.0,25.1,0.085,84.25,105.0,32.5,38.5,11.93,3.26,12.8,104.3%,137.5,143.5,332.0,34.0,17.1,7.0,2.7,6.3,42.7,0.6,2.1,31.0,1.0,1.7,59.6,1.1,2.2,3.3,0.5,0.5,0.5,1.2,0.0
2016.0,"Dunn, Kris",PG,75.0,0.0,0.0,0.0622,81.5,100.0,31.7,38.2,10.916,3.2439999999999998,9.2,108.7%,129.3,135.8,436.0,33.0,16.9,4.1,1.5,4.1,37.3,0.3,0.9,29.0,0.8,1.2,62.5,0.4,1.9,2.2,2.4,1.0,0.3,1.2,0.0
2016.0,"Felder, Kay",PG,68.25,177.2,26.7,0.058,74.5,88.5,35.5,44.0,11.52,3.15,11.0,109.2%,124.0,132.5,679.0,15.0,11.0,5.4,1.8,4.1,43.5,0.3,0.6,44.4,1.5,2.0,76.7,0.1,1.1,1.3,1.9,0.4,0.2,0.7,0.0
2016.0,"Finney-Smith, Dorian",SF,78.5,212.6,24.3,0.065,83.75,105.5,32.5,35.5,11.01,3.27,9.4,106.7%,138.0,141.0,963.0,33.0,22.8,5.2,1.9,4.6,40.5,0.9,2.8,32.3,0.6,0.8,76.0,0.7,2.2,2.8,1.0,0.6,0.3,0.7,0.0
2016.0,"LeVert, Caris",SG,77.75,191.0,22.2,0.076,82.0,101.0,29.5,35.8,11.15,3.2659999999999996,4.0,105.5%,128.8,135.1,596.0,12.0,15.5,4.7,1.6,4.4,35.8,0.8,2.6,32.3,0.7,1.0,66.7,0.3,2.3,2.6,1.3,0.9,0.2,0.6,0.0
2016.0,"McCaw, Patrick",PG-SG,77.25,180.8,21.3,0.047,82.0,100.5,30.0,38.0,11.01,3.3,11.2,106.1%,130.5,138.5,661.0,26.0,12.2,2.8,1.1,2.8,38.9,0.6,1.5,37.5,0.1,0.2,50.0,0.3,0.8,1.0,1.0,0.4,0.3,0.6,0.0
2016.0,"Valentine, Denzel",SG-SF,76.0,210.4,25.6,0.092,82.75,102.0,27.0,32.0,10.51,3.46,10.0,108.9%,129.0,134.0,700.0,22.0,10.6,2.5,0.8,3.0,27.7,0.5,1.9,26.2,0.3,0.4,87.5,0.0,1.6,1.6,0.5,0.3,0.1,0.4,0.0
2016.0,"Whitehead, Isaiah",PG-SG,75.25,210.0,26.1,0.093,80.75,100.0,27.5,35.5,11.65,3.34,6.0,107.3%,127.5,135.5,1051.0,25.0,22.6,6.7,2.6,6.4,41.3,0.5,1.8,28.3,0.9,1.2,76.7,0.2,2.0,2.2,3.0,0.7,0.5,2.2,0.0
2016.0,"Williams, Troy",SF,77.75,217.8,25.3,0.1,80.25,102.0,30.0,36.0,10.72,3.35,9.8,103.2%,132.0,138.0,227.0,24.0,17.4,5.3,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1.0,60.0,0.3,1.6,1.8,0.8,1.0,0.4,1.1,0.0
2015.0,"Anderson, Justin",SF-SG,77.25,230.6,27.2,0.05,83.75,101.0,38.0,43.0,11.13,3.22,12.0,108.4%,139.0,144.0,998.0,55.0,11.8,3.8,1.3,3.2,40.6,0.4,1.5,26.5,0.8,1.0,80.0,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.0
2015.0,"Booker, Devin",SG,76.5,205.8,24.7,0.083,80.25,102.5,27.5,34.5,10.27,3.28,8.0,104.9%,130.0,137.0,772.0,76.0,27.7,13.8,4.8,11.4,42.3,1.3,3.8,34.3,2.8,3.4,84.0,0.4,2.1,2.5,2.6,0.6,0.3,2.1,0.0
2015.0,"Brown, Anthony",SF-SG,77.75,211.0,24.5,0.061,83.0,104.5,27.5,34.5,10.94,3.18,4.0,106.8%,132.0,139.0,845.0,29.0,20.7,4.0,1.3,4.3,31.0,0.7,2.4,28.6,0.6,0.7,85.0,0.3,2.1,2.4,0.7,0.5,0.2,0.5,0.0
2015.0,"Cauley-Stein, Willie",C,83.25,242.4,24.6,0.063,87.0,111.0,28.1,31.9,11.645999999999999,3.3839999999999995,14.0,104.5%,135.4,139.2,810.0,66.0,21.4,7.0,2.9,5.1,56.3,0.0,0.0,0.0,1.2,1.9,64.8,2.0,3.3,5.3,0.6,0.7,1.0,0.7,0.0
2015.0,"Grant, Jerian",PG,75.25,198.0,24.6,0.056,79.5,100.0,30.4,34.7,11.120000000000001,3.1919999999999997,10.8,105.6%,132.6,136.9,916.0,76.0,16.6,5.6,2.0,5.1,39.4,0.3,1.3,22.0,1.3,1.6,78.0,0.3,1.6,1.9,2.3,0.7,0.1,1.1,0.0
2015.0,"Harrison, Andrew",PG,76.5,213.2,25.6,0.059,81.0,100.0,26.5,33.0,11.2,3.34,9.2,105.9%,126.5,133.0,1.0,35.0,26.9,7.2,2.0,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2.0,2.4,3.7,1.1,0.5,1.6,0.0
2015.0,"Hollis-Jefferson, Rondae",SF,77.5,210.8,24.7,0.05,86.0,104.0,32.0,38.0,10.41,3.12,13.0,111.0%,136.0,142.0,827.0,29.0,21.2,5.8,2.2,4.8,45.7,0.1,0.5,28.6,1.3,1.8,71.2,1.3,4.0,5.3,1.5,1.3,0.6,0.9,0.0
2015.0,"Holmes, Richaun",PF,80.25,242.8,26.5,0.088,85.5,108.0,32.5,36.0,11.24,3.32,15.0,106.5%,140.5,144.0,981.0,51.0,13.8,5.6,2.2,4.4,51.4,0.2,0.9,18.2,1.0,1.5,68.9,1.2,1.4,2.6,0.6,0.4,0.8,0.6,0.0
2015.0,"Johnson, Stanley",SF,77.0,241.8,28.7,0.075,83.5,102.0,31.2,35.5,11.624,3.35,12.8,108.4%,136.2,140.5,781.0,73.0,23.1,8.1,3.1,8.2,37.5,0.9,2.8,30.7,1.1,1.4,78.4,0.8,3.4,4.2,1.6,0.8,0.2,1.6,0.0
2015.0,"Jones, Tyus",PG,72.5,184.6,24.7,0.065,77.0,97.0,26.5,32.5,11.84,3.32,2.0,106.2%,123.5,129.5,931.0,37.0,15.5,4.2,1.5,4.2,35.9,0.4,1.4,30.2,0.8,1.1,71.8,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.0
2015.0,"Kaminsky, Frank",C-PF,83.75,231.2,23.2,0.094,83.0,109.5,30.8,35.8,10.876,3.2399999999999998,12.4,99.1%,136.3,141.3,835.0,81.0,21.1,7.5,2.7,6.5,41.0,0.8,2.5,33.7,1.3,1.8,73.0,0.9,3.3,4.1,1.2,0.5,0.5,0.7,0.0
2015.0,"Martin, Jarell",PF,80.0,238.6,26.2,0.101,81.0,106.5,28.5,35.0,11.2,3.27,19.0,101.3%,135.0,141.5,972.0,27.0,14.1,5.7,2.0,4.3,46.6,0.0,0.1,0.0,1.7,2.3,72.6,1.4,1.7,3.2,0.6,0.3,0.3,0.7,0.0
2015.0,"McConnell, TJ",PG,72.5,187.8,25.1,0.073,74.0,96.5,26.0,31.5,10.95,3.3,7.0,102.1%,122.5,128.0,865.0,81.0,19.8,6.1,2.7,5.7,47.0,0.4,1.1,34.8,0.3,0.5,63.4,0.5,2.6,3.1,4.5,1.2,0.1,1.7,0.0
2015.0,"McCullough, Chris",PF,80.25,199.0,21.7,0.062,87.25,109.0,31.4,35.6,11.154,3.2700000000000005,11.0,108.7%,131.9,136.1,940.0,24.0,15.1,4.7,1.8,4.5,40.4,0.5,1.4,38.2,0.5,1.0,47.8,1.0,1.8,2.8,0.4,1.2,0.5,0.6,0.0
2015.0,"Nance, Larry",PF,79.5,226.6,25.2,0.064,85.5,108.0,29.0,37.5,10.93,3.25,10.0,107.5%,137.0,145.5,517.0,80.0,14.8,6.6,2.8,5.5,52.1,0.0,0.0,0.0,0.9,1.5,64.1,1.2,2.0,3.2,1.0,0.5,0.9,1.3,1.0
