YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2025,"Almansa, Izan",C,81.25,220.4,23.5,NA,85.75,109.5,9.25,9.5,28.0,34.0,11.50,2.90,3.30,NA,105.5%,87.9,137.5,143.5
2025,"Avdalas, Neoklis",SF,79.50,197.8,22.0,NA,81.00,104.5,8.25,9.8,27.0,33.5,11.00,3.00,3.20,NA,101.9%,80.9,131.5,138.0
2025,"Bailey, Ace",SF-PF,79.50,203.0,22.6,NA,84.50,107.0,8.50,9.0,28.0,35.0,11.00,3.00,3.00,NA,106.3%,76.5,135.0,142.0
2025,"Bates, Tamar",SG,75.75,191.0,23.4,NA,82.25,103.0,9.75,9.0,28.0,34.0,11.00,3.00,3.00,NA,108.6%,87.8,131.0,137.0
2025,"Brea, Koby",SG,77.75,202.0,23.5,NA,77.25,101.5,8.50,9.3,28.0,34.0,11.00,3.00,3.00,NA,99.4%,79.1,129.5,135.5
2025,"Broome, Johni",SF-PF,81.25,249.0,26.5,NA,84.25,108.5,9.25,10.3,25.0,28.0,12.00,3.00,3.00,NA,103.7%,95.3,133.5,136.5
2025,"Bryant, Carter",SF-PF,78.50,215.0,24.5,NA,83.75,106.0,8.50,9.5,31.0,40.0,11.00,3.00,3.00,NA,106.7%,80.8,137.0,146.0
2025,"Byrd, Miles",SG,76.75,182.0,21.7,NA,82.00,102.5,8.75,9.3,32.0,36.0,11.00,3.00,3.00,NA,106.8%,81.4,134.5,138.5
2025,"Clayton Jr., Walter",PG-SG,74.00,199.0,25.5,NA,76.00,97.5,8.25,9.8,30.0,37.0,11.00,3.00,3.00,NA,102.7%,80.9,127.5,134.5
2025,"Clifford, Nique",PG-SG,77.25,202.0,23.8,NA,80.00,102.5,8.25,8.5,31.0,36.0,11.00,3.00,3.00,NA,103.6%,70.1,133.5,138.5
2025,"Condon, Alex",SF-PF,83.25,222.0,22.5,NA,84.75,107.5,9.25,9.8,30.0,35.0,12.00,3.00,3.00,NA,101.8%,90.7,137.5,142.5
2025,"Coward, Cedric",PG-SG,77.25,213.0,25.1,NA,86.25,106.0,9.25,10.0,33.0,39.0,11.00,3.00,3.00,NA,111.7%,92.5,139.0,145.0
2025,"Demin, Egor",PG-SG,80.25,199.0,21.7,NA,82.25,105.5,8.25,9.3,27.0,32.0,11.00,3.00,3.00,NA,102.5%,76.7,132.5,137.5
2025,"Dixon, Eric",PF,79.50,259.0,28.8,NA,83.50,104.0,8.75,10.0,28.0,33.0,12.00,3.00,3.00,NA,105.0%,87.5,132.0,137.0
2025,"Edgecombe, VJ",PG-SG,76.00,193.0,23.5,NA,79.50,101.5,8.50,9.5,30.0,39.0,11.00,3.00,3.00,NA,104.6%,80.8,131.5,140.5
2025,"Fears, Jeremiah",PG-SG,74.50,180.0,22.8,NA,77.25,98.5,8.25,9.3,33.0,37.0,11.00,3.00,3.00,NA,103.7%,76.7,131.5,135.5
2025,"Flagg, Cooper",SF-PF,79.75,221.0,24.4,NA,84.00,106.5,8.75,9.8,29.0,36.0,11.00,3.00,3.00,NA,105.3%,85.8,135.5,142.5
2025,"Fland, Boogie",PG,74.00,172.0,22.1,NA,78.00,98.0,8.50,9.0,NA,NA,NA,NA,NA,NA,105.4%,76.5,NA,NA
2025,"Fleming, Rasheer",SF-PF,80.25,232.0,25.3,NA,89.25,109.0,9.50,9.5,27.0,33.0,11.00,3.00,3.00,NA,111.2%,90.3,136.0,142.0
2025,"Goldin, Vladislav",C,84.00,253.0,25.2,NA,89.25,111.0,9.50,11.8,27.0,30.0,12.00,3.00,4.00,NA,106.3%,112.1,138.0,141.0
2025,"Haggerty, PJ",SG,74.25,189.0,24.1,NA,78.50,97.5,8.50,9.5,28.0,32.0,12.00,3.00,3.00,NA,105.7%,80.8,125.5,129.5
2025,"Harper, Dylan",PG-SG,76.50,213.0,25.6,NA,82.50,102.0,9.25,9.3,31.0,37.0,11.00,3.00,3.00,NA,107.8%,86.0,133.0,139.0
2025,"Henshall, Ben",SG,77.50,193.0,22.6,NA,78.50,99.5,8.00,8.0,30.0,37.0,10.00,3.00,3.00,NA,101.3%,64.0,129.5,136.5
2025,"Jakucionis, Kasparas",PG-SG,76.75,205.0,24.5,NA,79.75,99.5,8.50,9.8,29.0,35.0,11.00,3.00,3.00,NA,103.9%,83.3,128.5,134.5
2025,"James, Sion",SG,76.50,218.0,26.2,NA,78.50,100.0,8.25,9.3,32.0,40.0,11.00,3.00,3.00,NA,102.6%,76.7,132.0,140.0
2025,"Johnson, Tre",PG-SG,76.75,190.0,22.7,NA,82.25,101.0,8.50,8.0,32.0,38.0,10.00,3.00,3.00,NA,107.2%,68.0,133.0,139.0
2025,"Jones, Kam",PG,75.25,202.0,25.1,NA,78.00,100.5,8.25,8.5,25.0,32.0,11.00,3.00,3.00,NA,103.7%,70.1,125.5,132.5
2025,"Kalkbrenner, Ryan",C,85.00,257.0,25.0,NA,90.00,112.0,9.25,11.3,29.0,33.0,12.00,3.00,3.00,NA,105.9%,104.5,141.0,145.0
2025,"Knox, Karter",SF,77.00,214.0,25.4,NA,82.25,102.5,9.00,9.5,32.0,40.0,11.00,3.00,3.00,NA,106.8%,85.5,134.5,142.5
2025,"Knueppel, Kon",PG-SG,77.00,219.0,26.0,NA,78.25,101.5,8.50,9.8,NA,NA,NA,NA,NA,NA,101.6%,83.3,NA,NA
2025,"Konan Niederhauser, Yanic",C,83.25,242.6,24.6,NA,87.25,111.0,9.50,9.0,33.5,37.0,11.50,2.80,3.20,NA,104.8%,85.5,144.5,148.0
2025,"Lanier, Chaz",PG-SG,75.75,206.0,25.2,NA,81.00,101.5,8.50,9.8,33.0,39.0,11.00,3.00,3.00,NA,106.9%,83.3,134.5,140.5
2025,"Lendeborg, Yaxel",PF,80.50,234.6,25.5,NA,88.00,108.5,9.25,10.0,25.5,31.5,11.70,3.10,3.30,NA,109.3%,92.5,134.0,140.0
2025,"Luis Jr., RJ",SF,77.75,210.0,24.4,NA,82.50,103.5,9.00,10.0,31.5,38.0,11.20,3.00,3.10,NA,106.1%,90.0,135.0,141.5
2025,"Maluach, Khaman",C,84.75,252.8,24.7,NA,90.75,114.0,9.75,10.3,24.0,30.0,12.10,3.40,3.50,NA,107.1%,100.4,138.0,144.0
2025,"Martin, Alijah",SG,73.50,208.4,27.1,NA,79.50,99.5,8.25,9.3,29.5,38.0,11.10,3.10,3.10,NA,108.2%,76.7,129.0,137.5
2025,"McNeeley, Liam",SF-PF,78.75,214.6,24.3,NA,80.50,99.5,8.75,10.0,30.5,36.5,11.10,2.80,3.20,NA,102.2%,87.5,130.0,136.0
2025,"Mgbako, Mackenzie",SF-PF,79.50,216.4,24.1,NA,82.25,103.0,9.00,9.3,27.5,33.0,12.00,2.90,3.40,NA,103.5%,83.7,130.5,136.0
2025,"Moore, Jalon",SF,78.25,203.4,23.4,NA,82.25,104.5,9.00,9.5,32.5,39.0,11.70,3.10,3.00,NA,105.1%,85.5,137.0,143.5
2025,"Murray-Boyles, Collin",SF-PF,78.50,239.2,27.3,NA,84.75,106.0,8.50,10.3,29.5,34.5,11.20,2.90,3.20,NA,108.0%,87.6,135.5,140.5
2025,"Nelson, Grant",PF,82.00,229.8,24.0,NA,84.00,109.0,9.00,9.8,27.0,30.0,10.50,2.60,3.20,NA,102.4%,88.2,136.0,139.0
2025,"Nembhard, Ryan",PG,71.00,175.8,24.5,NA,74.25,94.0,9.50,8.3,26.5,32.5,11.50,2.90,3.20,NA,104.6%,78.9,120.5,126.5
